FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value
ENSMUSG00000075706,Gpx4,5.50853027,-0.698064003,0.388136161,8.95499875,0.698064003,0.388136161
ENSMUSG00000026822,Lcn2,5.499348035,3.341372485,0.030299141,0.541396983,-3.341372485,0.030299141
ENSMUSG00000044533,Rps2,5.495567116,0.190724287,1,4.823798346,-0.190724287,1
ENSMUSG00000029614,Rpl6,5.489895736,0.591932097,0.741993675,3.648332824,-0.591932097,0.741993675
ENSMUSG00000008348,Ubc,5.419948717,-0.846655194,0.280604857,9.767094225,0.846655194,0.280604857
ENSMUSG00000028603,Scp2,5.332717493,0.999851717,0.440771997,2.670404039,-0.999851717,0.440771997
ENSMUSG00000098274,Rpl24,5.305575889,0.150943227,1,4.787217469,-0.150943227,1
ENSMUSG00000062328,Rpl17,5.248997123,0.583202192,0.749156803,3.509325491,-0.583202192,0.749156803
ENSMUSG00000030560,Ctsc,5.237384298,3.723131877,0.014949957,0.395073474,-3.723131877,0.014949957
ENSMUSG00000068874,Selenbp1,5.225231341,0.158615479,1,4.689668463,-0.158615479,1
ENSMUSG00000046330,Rpl37a,5.220235125,0.481227025,0.843041235,3.74588183,-0.481227025,0.843041235
ENSMUSG00000015656,Hspa8,5.204706347,-1.085010328,0.151620413,11.064496,1.085010328,0.151620413
ENSMUSG00000027533,Fabp5,5.191203061,3.801694974,0.013398258,0.370686223,-3.801694974,0.013398258
ENSMUSG00000062825,Actg1,5.189042536,-1.117067278,0.137955976,11.27910382,1.117067278,0.137955976
ENSMUSG00000049422,Chchd10,5.150153074,-2.372988685,0.000129177,26.73818254,2.372988685,0.000129177
ENSMUSG00000059070,Rpl18,5.149612942,0.503479747,0.822118514,3.638577923,-0.503479747,0.822118514
ENSMUSG00000032399,Rpl4,5.03551018,0.468258549,0.854107109,3.645894099,-0.468258549,0.854107109
ENSMUSG00000037563,Rps16,5.020791599,0.418472975,0.899660216,3.762952906,-0.418472975,0.899660216
ENSMUSG00000040808,S100g,4.960972044,3.793966119,0.01346027,0.356053872,-3.793966119,0.01346027
ENSMUSG00000041736,Tspo,4.838497245,-0.165899127,0.904736327,5.438357084,0.165899127,0.904736327
ENSMUSG00000026576,Atp1b1,4.822698401,0.941630097,0.477130338,2.514325629,-0.941630097,0.477130338
ENSMUSG00000046364,Rpl27a,4.780163052,0.679157417,0.669245205,2.989877034,-0.679157417,0.669245205
ENSMUSG00000031818,Cox4i1,4.758827861,-1.027464316,0.178041954,9.720758447,1.027464316,0.178041954
ENSMUSG00000003429,Rps11,4.709675902,0.372715746,0.94239979,3.643455374,-0.372715746,0.94239979
ENSMUSG00000042712,Wbp5,4.693066861,1.347494854,0.461765337,1.846114938,-1.347494854,0.461765337
ENSMUSG00000090841,Myl6,4.668085783,-0.718946283,0.372101703,7.699055298,0.718946283,0.372101703
